ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
gulamera,gulamera,These recording were taken in November 2011 and May 2013 at the houses of two speakers (TD01 and TD03) in the Rinegetan and Kiniar suburbs of Tondano town. The speakers narrate while watching an elicitation video which depicts a group of people collecting palm sugar sap from the sugar palm (\tit{arenga pinnata}) tree. The sap is then heated before being poured into coconut shells to be sold as palm sugar when it has cooled.,Timothy Brickell,"Brickell, Timothy. 2019. Multi-CAST Tondano. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1905. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tondano) (date accessed)",1,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,136,TD01,female,50,yes,1960,yes,SN,2011,615.4551927437642,brickell2015;sneddon1975;wolff2010
holiday,holiday,In this recording the speaker (TD01) describes the experience of travelling to Australia and staying with her granddaughters in Sydney and Brisbane. She describes the things she did and places she saw while there. This narration was recorded in the Rinegetan suburb of Tondano town in September 2011.,Timothy Brickell,"Brickell, Timothy. 2019. Multi-CAST Tondano. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1905. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tondano) (date accessed)",2,holiday_mp3 holiday_wav holiday_eaf holiday_xml holiday_tsv,106,TD01,female,50,yes,1960,yes,AN,2011,316.699410430839,brickell2015;sneddon1975;wolff2010
kiniar01,kiniar01,"In these recordings the speakers (TD02 and TD03) narrate an elicitation video in which people buy fruit bats (commonly \tit{pteropus alecto} or \tit{chironax melancephalus}) from a marketplace. The process of preparing, cooking, and eating bat curry is then described. The recordings took place at two houses in the Kiniar neighbourhood of Tondano town in May 2013.",Timothy Brickell,"Brickell, Timothy. 2019. Multi-CAST Tondano. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1905. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tondano) (date accessed)",3,kiniar01_mp3 kiniar01_wav kiniar01_eaf kiniar01_xml kiniar01_tsv,142,TD02,male,40,yes,1970,yes,SN,2013,524.8628117913833,brickell2015;sneddon1975;wolff2010
kiniar02,kiniar02,These recording were taken in November 2011 and May 2013 at the houses of two speakers (TD01 and TD03) in the Rinegetan and Kiniar suburbs of Tondano town. The speakers narrate while watching an elicitation video which depicts a group of people collecting palm sugar sap from the sugar palm (\tit{arenga pinnata}) tree. The sap is then heated before being poured into coconut shells to be sold as palm sugar when it has cooled.,Timothy Brickell,"Brickell, Timothy. 2019. Multi-CAST Tondano. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1905. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tondano) (date accessed)",4,kiniar02_mp3 kiniar02_wav kiniar02_eaf kiniar02_xml kiniar02_tsv,203,TD03,male,50,yes,1960,yes,SN,2013,756.6548526077097,brickell2015;sneddon1975;wolff2010
kiniar03,kiniar03,"In these recordings the speakers (TD02 and TD03) narrate an elicitation video in which people buy fruit bats (commonly \tit{pteropus alecto} or \tit{chironax melancephalus}) from a marketplace. The process of preparing, cooking, and eating bat curry is then described. The recordings took place at two houses in the Kiniar neighbourhood of Tondano town in May 2013.",Timothy Brickell,"Brickell, Timothy. 2019. Multi-CAST Tondano. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1905. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tondano) (date accessed)",5,kiniar03_mp3 kiniar03_wav kiniar03_eaf kiniar03_xml kiniar03_tsv,131,TD03,male,50,yes,1960,yes,SN,2013,530.8272335600907,brickell2015;sneddon1975;wolff2010
mapalus,mapalus,"The speaker (TD04) in this recording session talks about an aspect of Minahasan culture known as \tit{mapalus,} which is the term for how community members traditionally work together for mutual assistance. She also speaks about her experience during a well known historical event called the Permesta rebellion in which some Minahasans fought against the Brawijaya regiment of the Indonesian National Army. This narration was recorded at a house in the Rinegetan suburb of Tondano town in September 2011.",Timothy Brickell,"Brickell, Timothy. 2019. Multi-CAST Tondano. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1905. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tondano) (date accessed)",6,mapalus_mp3 mapalus_wav mapalus_eaf mapalus_xml mapalus_tsv,137,TD04,female,50,yes,1960,yes,AN,2011,411.3226303854875,brickell2015;sneddon1975;wolff2010
water,water,"This recording session took place in the Rinegetan suburb of Tondano town in August 2011. The speaker (TD05), her mother, and her mother’s friend were all recorded on this day. The speaker is narrating an elicitation video which depicts the collecting, cooking, and eating of sago grubs (the larvae of the \tit{thynchophorus ferrungineus} beetle) from a sugar palm (\tit{arenga pinnata}) tree.",Timothy Brickell,"Brickell, Timothy. 2019. Multi-CAST Tondano. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1905. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tondano) (date accessed)",7,water_mp3 water_wav water_eaf water_xml water_tsv,114,TD05,female,40,yes,1970,yes,SN,2011,304.49965986394557,brickell2015;sneddon1975;wolff2010
watulaney,watulaney,"This narration was recorded in the lounge room of a house in Tataaran, a suburb just outside of Tondano town in September 2011. The speaker (TD06) is discussing her family history and the history of her village of Watulaney, which is located approximately 30 kilometres to the east of Tondano.",Timothy Brickell,"Brickell, Timothy. 2019. Multi-CAST Tondano. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 1905. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tondano) (date accessed)",8,watulaney_mp3 watulaney_wav watulaney_eaf watulaney_xml watulaney_tsv,312,TD06,female,40,yes,1970,yes,AN,2011,1100.2730839002268,brickell2015;sneddon1975;wolff2010
