ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mctondano,Tondano,Papunesia,1.28024,124.964,tond1251,,"Austronesian, Malayo-Polynesian, Philippine, Minahasan, North, Northwest","Indonesia, North Sulawesi, Tondano town",Toulour dialect
en,English,,,,stan1293,,,,
